scenario_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,167.5063181818182,164.33513636363637,164.53868181818183,168.3272727272727,170.918,173.599,181.15068181818182,184.84368181818184,184.02854545454545,182.4901818181818,183.33654545454544,190.07009090909088,192.68231818181818,191.1325,189.08631818181817,189.23072727272728,187.49068181818183,176.53313636363634,166.7432727272727,156.76895454545456,149.61849999999998,145.63809090909092,144.40363636363637,144.52299999999997
1,304.5202777777778,307.33299999999997,306.00811111111113,306.88766666666663,308.482,328.40683333333334,358.14655555555555,383.90633333333335,406.7887777777778,425.87816666666663,437.5968888888889,444.2196111111111,446.47950000000003,446.9067777777778,444.63255555555554,443.6212777777778,440.9563333333333,438.9231666666667,432.26644444444446,426.6526666666667,419.17527777777775,413.6313333333333,409.0758333333334,397.17600000000004
2,279.76057142857144,273.4222857142857,265.3447619047619,250.10257142857142,230.546,215.6012380952381,200.9345238095238,188.88733333333334,184.53166666666667,184.814380952381,192.726,205.86709523809523,220.72419047619047,238.75333333333333,257.3800476190476,272.6400476190476,283.48414285714284,293.8505714285714,306.2438095238095,321.90642857142853,334.195,335.57595238095234,332.7988571428571,328.0706666666667
3,417.38514285714285,419.9850714285715,422.1206428571428,425.08721428571425,422.1305,423.56964285714287,423.02792857142856,420.9368571428571,417.55228571428574,409.5560714285714,392.1288571428571,364.83564285714283,333.9212857142857,293.9382857142857,248.64735714285715,207.65342857142858,178.77492857142857,160.294,149.9072142857143,152.12335714285715,158.40228571428574,161.11571428571426,166.002,171.7502142857143
4,72.38895454545457,68.50372727272725,68.41822727272728,68.6715909090909,65.84990909090905,59.32286363636359,55.35463636363633,55.44354545454544,59.26168181818184,63.219727272727255,64.77213636363632,66.7573636363636,67.98600000000005,70.3437272727273,73.24427272727269,75.18781818181819,74.58809090909094,73.76745454545454,77.39322727272724,80.75450000000004,81.40218181818182,84.22149999999996,91.2101363636364,100.24213636363635
5,295.7009047619048,304.6025714285714,311.3387142857143,316.3850476190476,318.61571428571426,320.2337142857143,322.43271428571427,316.22409523809523,314.3977619047619,320.18533333333335,325.10366666666664,327.1918095238095,324.0537619047619,318.2783809523809,309.7491904761905,298.58976190476193,283.9702857142857,275.05790476190475,269.7711904761905,271.18595238095236,277.418,281.82866666666666,283.49814285714285,279.4000476190476
6,438.11179411764704,441.9154117647059,444.78614705882353,445.4163235294118,445.47014705882356,448.70155882352935,451.82061764705884,459.70888235294115,464.56011764705886,468.05529411764707,470.9208235294118,471.1847941176471,470.4265294117647,468.02858823529414,466.14091176470595,463.0730588235294,458.0719705882352,454.04594117647054,450.8865882352941,446.30279411764707,439.58632352941174,432.36117647058825,422.2902058823529,413.0425
7,396.485,394.66274999999996,389.7765,381.69237499999997,366.3935,355.88987499999996,342.743625,328.286,303.405625,258.324875,206.311625,162.5895,131.810125,116.7875,113.06275,117.10374999999999,135.636875,162.95325000000003,190.1395,211.73037499999998,222.864875,230.67925,241.26225,248.892375
8,83.52285714285713,70.73485714285715,60.00742857142859,51.126571428571424,43.17485714285715,36.75214285714284,32.53871428571432,29.505500000000012,28.00864285714289,29.60235714285716,33.767785714285765,38.47771428571431,38.231071428571425,37.7632142857143,43.620785714285745,52.102785714285744,61.32864285714285,78.09285714285716,107.00428571428574,139.23592857142856,168.22385714285716,195.90442857142858,218.59192857142858,232.24721428571428
9,137.18454545454546,138.82636363636362,149.44881818181818,166.42663636363636,176.42899999999997,180.3610909090909,196.11318181818183,232.30072727272727,277.26272727272726,311.2402727272727,342.8560909090909,367.7948181818182,386.85963636363635,402.5181818181818,416.20481818181815,430.6421818181818,438.1422727272727,448.66427272727276,453.7906363636364,455.1604545454545,456.21490909090915,453.29409090909087,447.0778181818182,440.121
10,260.33510714285717,257.1729285714286,255.3507857142857,254.77596428571428,250.07275,244.17989285714285,243.60285714285715,256.62385714285716,270.22075,278.161,284.92053571428573,286.5542142857143,284.1434642857143,277.63110714285716,265.0244642857143,249.74271428571427,228.6970357142857,202.27075,183.3399642857143,171.4602142857143,159.50407142857142,151.77467857142858,146.54885714285714,142.47389285714286
