scenario_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,27.32,27.08,27.09,28.61,40.25,52.94,59.61,49.04,42.91,41.01,34.9,33.02,33.28,34.06,36.34,49.02,58.28,64.69,58.94,50.45,43.54,37.94,28.13,29.14
1,47.55,47.1,46.74,47.12,47.39,47.93,48.34,48.89,49.86,50.54,51.11,50.73,50.43,50.28,50.58,51.61,53.43,58.05,57.94,54.69,51.94,51.04,49.46,50.18
2,49.01,48.91,49.06,49.12,51.06,52.82,56.67,59.41,56.37,55.56,54.92,54.15,53.16,53.55,53.72,54.83,54.01,52.67,52.16,51.35,50.09,46.4,43.21,31.44
3,25.64,25.97,24.99,26.04,27.94,38.92,45.52,47.97,47.43,47.98,48.43,46.96,48.34,49.91,50.0,51.27,60.71,62.89,52.3,47.56,43.3,41.21,39.57,40.4
4,39.42,38.58,37.99,39.16,41.09,42.74,51.84,49.83,48.41,43.74,41.11,40.02,39.9,40.36,40.92,42.59,43.34,43.42,42.56,41.32,41.23,40.95,36.21,34.05
5,25.37,25.15,25.33,26.73,30.15,31.35,31.8,31.8,31.96,31.71,30.45,29.93,29.4,29.26,29.12,29.99,30.3,30.25,29.95,29.55,29.46,27.59,27.78,27.29
6,12.86,14.27,14.45,6.03,22.51,42.64,44.91,44.22,43.21,42.88,42.44,42.33,42.32,42.16,42.09,42.19,43.04,44.65,45.03,44.25,42.96,41.7,36.77,39.08
7,32.64,31.16,29.56,29.72,27.51,27.6,30.9,29.4,28.88,28.65,21.12,4.9,-2.46,-2.82,1.98,19.61,29.65,34.51,37.25,33.2,33.68,12.78,13.04,5.06
8,29.78,27.99,28.87,31.96,42.55,48.37,50.31,50.08,47.27,44.14,38.81,35.72,34.46,33.94,36.79,44.8,46.54,48.36,47.49,35.14,34.0,31.06,31.55,31.22
9,35.96,40.7,40.18,41.41,44.33,49.44,49.02,46.2,44.66,43.5,42.97,42.62,42.07,41.38,40.66,41.1,37.35,39.19,39.61,38.01,35.24,32.58,33.92,32.01
10,30.17,30.04,30.57,33.15,36.48,49.69,50.78,44.01,37.4,36.58,35.94,35.84,35.64,22.77,35.3,35.35,35.63,38.54,38.81,35.77,33.23,30.03,30.27,29.59
11,0.08,-4.09,-4.0,0.06,0.09,0.05,6.37,12.08,11.18,25.29,11.56,11.22,11.07,4.92,4.96,11.61,36.27,36.17,25.97,16.96,0.09,12.91,0.09,22.88
12,30.94,30.77,32.07,34.37,36.64,41.93,40.64,38.34,36.7,36.59,36.53,36.3,36.11,36.05,36.02,36.69,42.47,55.36,51.81,45.41,38.48,33.95,31.02,30.17
13,37.02,37.0,36.37,36.06,40.07,42.8,64.1,55.59,50.72,45.18,41.85,41.07,40.82,41.04,41.97,43.26,49.92,51.07,43.18,41.95,42.18,41.69,40.4,37.1
14,35.0,34.03,34.3,34.03,33.37,34.04,36.23,36.8,37.18,37.88,37.4,36.83,36.25,35.85,36.22,37.13,38.91,41.65,42.34,41.71,43.33,38.94,37.3,35.0
15,36.81,35.61,34.36,34.03,35.0,35.9,36.79,36.8,36.22,36.01,35.31,34.93,34.68,34.24,34.22,35.6,36.92,38.38,37.53,37.46,37.95,37.29,35.35,33.47
16,26.7,27.0,27.26,27.9,28.81,40.52,41.95,41.77,36.49,32.54,31.28,30.04,28.72,28.71,30.88,34.6,42.96,50.85,47.99,44.05,40.95,28.34,27.46,24.31
17,28.43,28.27,29.68,32.64,36.64,49.42,45.84,37.77,36.54,35.92,35.34,35.16,35.01,34.91,34.98,38.53,49.26,65.18,67.93,52.74,39.97,35.95,33.01,31.45
18,36.3,36.02,35.4,36.75,40.65,50.0,60.42,58.37,58.42,57.3,58.26,58.77,58.6,57.05,59.23,58.4,63.45,59.36,58.07,53.93,50.17,46.36,41.58,39.07
19,43.41,43.09,43.32,43.3,43.88,44.99,46.14,45.9,44.65,44.04,43.82,43.45,43.18,42.96,43.02,43.46,44.13,44.99,45.27,44.11,42.96,41.47,40.25,38.07
