scenario_id,hour,wind_mw,da_price,si
0_1_2,10,337.019,51.11,1
0_1_2,11,360.497,50.73,1
0_1_2,12,366.494,50.43,1
0_1_2,13,365.482,50.28,0
0_1_2,14,360.242,50.58,1
0_1_2,15,339.446,51.61,0
0_1_2,16,312.169,53.43,0
0_1_2,17,303.245,58.05,0
0_1_2,18,302.631,57.94,1
0_1_2,19,285.553,54.69,1
0_1_2,20,285.996,51.94,0
0_1_2,21,278.198,51.04,1
0_1_2,22,281.366,49.46,0
0_1_2,23,266.8,50.18,0
0_1_3,0,140.521,47.55,0
0_1_3,1,172.419,47.1,0
0_1_3,2,209.245,46.74,0
0_1_3,3,244.173,47.12,1
0_1_3,4,260.713,47.39,1
0_1_3,5,250.639,47.93,0
0_1_3,6,229.697,48.34,0
0_1_3,7,226.954,48.89,0
0_1_3,8,245.55,49.86,1
0_1_3,9,286.88,50.54,0
0_1_3,10,337.019,51.11,1
0_1_3,11,360.497,50.73,1
0_1_3,12,366.494,50.43,1
0_1_3,13,365.482,50.28,1
0_1_3,14,360.242,50.58,0
0_1_3,15,339.446,51.61,1
0_1_3,16,312.169,53.43,1
0_1_3,17,303.245,58.05,1
0_1_3,18,302.631,57.94,0
0_1_3,19,285.553,54.69,0
0_1_3,20,285.996,51.94,0
0_1_3,21,278.198,51.04,1
0_1_3,22,281.366,49.46,1
0_1_3,23,266.8,50.18,1
0_2_0,0,140.521,49.01,0
0_2_0,1,172.419,48.91,0
0_2_0,2,209.245,49.06,0
0_2_0,3,244.173,49.12,0
0_2_0,4,260.713,51.06,0
0_2_0,5,250.639,52.82,1
0_2_0,6,229.697,56.67,1
0_2_0,7,226.954,59.41,0
0_2_0,8,245.55,56.37,0
0_2_0,9,286.88,55.56,0
0_2_0,10,337.019,54.92,0
0_2_0,11,360.497,54.15,0
0_2_0,12,366.494,53.16,1
0_2_0,13,365.482,53.55,0
0_2_0,14,360.242,53.72,1
0_2_0,15,339.446,54.83,1
0_2_0,16,312.169,54.01,0
0_2_0,17,303.245,52.67,1
0_2_0,18,302.631,52.16,1
0_2_0,19,285.553,51.35,0
0_2_0,20,285.996,50.09,0
0_2_0,21,278.198,46.4,1
0_2_0,22,281.366,43.21,1
0_2_0,23,266.8,31.44,1
0_2_1,0,140.521,49.01,1
0_2_1,1,172.419,48.91,1
0_2_1,2,209.245,49.06,1
0_2_1,3,244.173,49.12,1
0_2_1,4,260.713,51.06,1
0_2_1,5,250.639,52.82,1
0_2_1,6,229.697,56.67,0
0_2_1,7,226.954,59.41,1
0_2_1,8,245.55,56.37,1
0_2_1,9,286.88,55.56,0
0_2_1,10,337.019,54.92,1
0_2_1,11,360.497,54.15,0
0_2_1,12,366.494,53.16,1
0_2_1,13,365.482,53.55,1
0_2_1,14,360.242,53.72,1
0_2_1,15,339.446,54.83,0
0_2_1,16,312.169,54.01,1
0_2_1,17,303.245,52.67,1
0_2_1,18,302.631,52.16,0
0_2_1,19,285.553,51.35,0
0_2_1,20,285.996,50.09,1
0_2_1,21,278.198,46.4,0
0_2_1,22,281.366,43.21,0
0_2_1,23,266.8,31.44,1
0_2_2,0,140.521,49.01,0
0_2_2,1,172.419,48.91,1
0_2_2,2,209.245,49.06,0
0_2_2,3,244.173,49.12,1
0_2_2,4,260.713,51.06,0
0_2_2,5,250.639,52.82,1
0_2_2,6,229.697,56.67,0
0_2_2,7,226.954,59.41,1
0_2_2,8,245.55,56.37,0
0_2_2,9,286.88,55.56,1
0_2_2,10,337.019,54.92,1
0_2_2,11,360.497,54.15,1
0_2_2,12,366.494,53.16,1
0_2_2,13,365.482,53.55,0
0_2_2,14,360.242,53.72,1
0_2_2,15,339.446,54.83,0
0_2_2,16,312.169,54.01,0
0_2_2,17,303.245,52.67,0
0_2_2,18,302.631,52.16,1
0_2_2,19,285.553,51.35,1
0_2_2,20,285.996,50.09,0
0_2_2,21,278.198,46.4,1
0_2_2,22,281.366,43.21,0
0_2_2,23,266.8,31.44,0
0_2_3,0,140.521,49.01,0
0_2_3,1,172.419,48.91,0
0_2_3,2,209.245,49.06,0
0_2_3,3,244.173,49.12,1
0_2_3,4,260.713,51.06,1
0_2_3,5,250.639,52.82,0
0_2_3,6,229.697,56.67,0
0_2_3,7,226.954,59.41,0
0_2_3,8,245.55,56.37,1
0_2_3,9,286.88,55.56,0
0_2_3,10,337.019,54.92,1
0_2_3,11,360.497,54.15,1
0_2_3,12,366.494,53.16,1
0_2_3,13,365.482,53.55,1
0_2_3,14,360.242,53.72,0
0_2_3,15,339.446,54.83,1
0_2_3,16,312.169,54.01,1
0_2_3,17,303.245,52.67,1
0_2_3,18,302.631,52.16,0
0_2_3,19,285.553,51.35,0
0_2_3,20,285.996,50.09,0
