beta,hour,grad_E,grad_CVaR,same_sign,p_DA
0.0,1,1.1817295897957647,-0.5222261217403908,False,303.6461333333333
0.0,2,1.062135808898341,-1.5622292067624055,False,137.37407692307693
0.0,3,1.06369533189921,-1.6604719329030107,False,142.459
0.0,4,1.229852900109362,1.562871051737583,True,51.126571428571424
0.0,5,1.2849932752178004,-2.0269738952411784,False,152.92899999999997
0.0,6,2.355520476244214,-0.887042624249894,False,320.2337142857143
0.0,7,1.4598521793273238,-1.721582899354532,False,196.11318181818183
0.0,8,2.9196866749686308,-1.735371419676059,False,188.88733333333332
0.0,9,2.8224343711081104,-1.9446003717119802,False,184.53166666666667
0.0,10,3.022138899580937,-2.5942180270951374,False,91.90091666666666
0.0,11,1.1189952451034266,-0.7522418959205247,False,342.8560909090909
0.0,12,2.6552011962713693,-1.3981082116304997,False,190.07009090909088
0.0,13,1.5638765868522129,-0.7214946318728293,False,333.9212857142857
0.0,14,0.0,0.0,True,500.0
0.0,15,1.8918863353332644,-2.5815675119813575,False,110.65206666666666
0.0,16,1.5877040492092358,-1.1301731669118749,False,339.6843076923077
0.0,17,2.5334518481827875,-1.1495289916600147,False,347.61265000000003
0.0,18,3.6795734046566344,-1.7270415298688933,False,202.27075
0.0,19,0.0,0.0,True,500.0
0.0,20,1.8923847098002486,0.0973427393485577,True,139.23592857142856
0.0,21,1.5319202988790495,-1.9177476225516399,False,220.87561538461537
0.0,22,2.397596800822532,-1.9689381297406139,False,145.63809090909092
0.0,23,1.3947640326049062,0.3004356956865468,True,218.59192857142855
0.0,24,2.235863438242838,-0.5500048115022715,False,315.17925
0.02,1,1.95382151779298,-0.5062100456620735,False,295.7009047619048
0.02,2,2.399214253367898,-1.281162732555847,False,92.82641666666666
0.02,3,2.402736994792115,-1.4542564059019971,False,86.52995833333335
0.02,4,1.229852900109362,1.562871051737583,True,51.126571428571424
0.02,5,2.9026176836860014,-1.7114401675533566,False,67.42558333333332
0.02,6,2.355520476244214,-0.8870426242498939,False,320.2337142857143
0.02,7,1.4598521793273238,-1.6149338276914613,False,196.11318181818183
0.02,8,2.9196866749686308,-1.7338723536735674,False,188.88733333333332
0.02,9,2.8224343711081104,-1.693440092078793,False,184.53166666666667
0.02,10,3.022138899580937,-2.2672888033508602,False,91.90091666666666
0.02,11,2.5411107211590935,-0.5985739744895574,False,325.10366666666664
0.02,12,2.6552011962713693,-1.3266214574133672,False,190.07009090909088
0.02,13,1.5638765868522129,-0.7214925091512171,False,333.9212857142857
0.02,14,0.0,0.0,True,500.0
0.02,15,1.8918863353332644,-2.2623769764894655,False,110.65206666666666
0.02,16,1.5877040492092358,-0.8856287501414367,False,339.6843076923077
0.02,17,2.5334518481827875,-0.8902512830672442,False,347.61265000000003
0.02,18,3.6795734046566344,-1.735581946488388,False,202.27075
0.02,19,0.0,0.0,True,500.0
0.02,20,1.8923847098002486,0.4074363749574347,True,139.23592857142856
0.02,21,1.5319202988790495,-1.687675874561156,False,220.87561538461537
0.02,22,2.397596800822532,-1.6929073832973636,False,145.63809090909092
0.02,23,1.3947640326049062,0.5144498094266827,True,218.59192857142855
0.02,24,2.235863438242838,-0.5093487018377609,False,315.17925
0.25,1,2.2690923883918486,-0.4372560285293556,False,279.76057142857144
0.25,2,1.85769225631144,0.9752783595605676,True,70.73485714285715
0.25,3,2.6560974970751983,4.753602145363696,True,68.41822727272728
0.25,4,1.229852900109362,1.9191052492544618,True,51.126571428571424
0.25,5,3.2086889165626804,6.09294226197172,True,65.84990909090905
0.25,6,3.961424324502651,-0.7803264274122801,False,244.17989285714285
0.25,7,4.186805492659822,-1.5054797728214688,False,143.0984090909091
0.25,8,4.1331034661682535,-1.7821194007319454,False,130.42395454545454
0.25,9,3.9954332710665534,-1.5964592248762686,False,129.91786363636362
0.25,10,3.7201195479072116,7.426120136608314,True,63.219727272727255
0.25,11,3.8003344843200138,-0.5348881561567848,False,284.92053571428573
0.25,12,3.89337791992126,-1.4201358730516924,False,132.12645833333335
0.25,13,0.6177109768292554,-0.8732959356956103,False,316.1069201128392
0.25,14,0.0,0.0,True,500.0
0.25,15,3.184951922713862,6.725893712969784,True,73.24427272727269
0.25,16,3.2998177440655354,-0.6004086946676856,False,272.6400476190476
0.25,17,3.122814451488465,-0.5965144439412602,False,283.9702857142857
0.25,18,2.586831165326795,-1.8564648854672183,False,162.95325000000005
0.25,19,0.0,0.0,True,500.0
0.25,20,3.396778524661092,8.183640071322756,True,80.75450000000004
0.25,21,4.00463947696121,-0.9983502585002363,False,159.50407142857142
0.25,22,2.9002163525036915,6.995471791387811,True,84.22149999999996
0.25,23,1.8129596135701609,-0.8092456696478413,False,155.70161538461537
0.25,24,2.3261000792481017,-0.5092394524321218,False,291.1129523809524
0.5,1,3.095874161288925,-0.3306737046680908,False,254.1395
0.5,2,2.9156464281669154,4.7419295539451545,True,68.50372727272725
0.5,3,2.6560974970751983,4.3471979036942585,True,68.41822727272728
0.5,4,1.229852900109362,1.403032567266482,True,51.126571428571424
0.5,5,3.2086889165626804,5.335172610286835,True,65.84990909090905
0.5,6,3.281947264047391,-0.6830036982526982,False,180.3610909090909
