beta,expected_profit,cvar,solve_time
0.0,271754.9898335665,9852.812556474357,5.7875785999931395
0.02,271754.9898335665,73885.5234083006,4.898125700012315
0.25,271754.9898335665,73885.5234083006,4.91640180000104
0.5,271754.9898335665,73885.5234083006,5.397420299996156
0.75,271754.9898335665,73885.5234083006,4.718289899989031
1.0,271754.9898335665,73885.5234083006,4.921897199994419
